scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source,asset_type,flow,regime
2026-08-21T07:32:10.698541+09:00,2026-08-21,DVA,DaVita Inc.,US,제약/바이오,2026-08-20,175.24,483433,1015556.65,9.1711,11247779840,17,65,43,84,46,1,HOLD,-0.54,-6,False,live,,55,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,NIO,NIO Inc.,US,소비재,2026-08-20,4.53,27172188,25802469.4,0.1264,11350672384,37,60,50,42,45,0,HOLD,-0.39,-5,False,live,,53,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,PSKY,Paramount Skydance Corporation Class B C,US,인터넷,2026-08-20,10.29,9296766,12754518.3,0.4261,11516291072,57,65,63,61,62,1,HOLD,0.43,5,False,live,,71,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,ENLT,Enlight Renewable Energy Ltd,US,유틸리티,2026-08-20,79.59,130369,205283.45,3.8561,11127371776,31,60,40,35,33,0,AVOID,-0.79,-9,True,live,,23,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,EGO,Eldorado Gold Corporation,US,소재,2026-08-20,42.65,2823044,2705867.2,2.1311,11123561472,70,60,55,55,56,1,HOLD,0.48,6,False,live,,40,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,EVR,Evercore Inc.,US,금융,2026-08-20,287.09,519748,581427.4,10.6271,11040842752,10,60,63,68,41,0,AVOID,-0.73,-9,True,live,,26,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,UMBF,UMB Financial Corporation,US,금융,2026-08-20,145.86,403316,603825.8,2.9621,11078071296,47,60,50,60,54,0,HOLD,0.27,3,False,live,,67,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,DPZ,"Domino's Pizza, Inc.",US,소비재,2026-08-20,334.37,982332,787566.6,10.6907,11061539840,50,60,53,50,54,0,HOLD,0.21,3,False,live,,63,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,RRX,Regal Rexnord Corporation,US,산업재,2026-08-20,165.85,1416708,1442610.4,9.3007,11044261888,10,60,63,58,38,0,AVOID,-0.81,-10,True,live,,20,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,DRS,"Leonardo DRS, Inc.",US,산업재,2026-08-20,41.0,848485,809439.25,1.5125,10942552064,35,60,53,50,46,0,HOLD,-0.31,-4,False,live,,46,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,WMS,"Advanced Drainage Systems, Inc.",US,소재,2026-08-20,142.44,376937,720046.85,5.7931,10740737024,32,60,55,58,46,0,HOLD,-0.17,-2,False,live,,40,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,GKOS,Glaukos Corporation,US,제약/바이오,2026-08-20,184.89,791864,946113.2,6.3924,10905539584,85,65,45,27,62,2,WATCH,0.81,10,False,live,,86,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,PAC,"Grupo Aeroportuario del Pacífico, S.A.B.",US,산업재,2026-08-20,209.45,118051,127602.55,5.3964,12462656512,25,60,60,50,43,0,AVOID,-0.53,-6,True,live,,36,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,FROG,JFrog Ltd.,US,IT,2026-08-20,89.72,1701832,2274576.6,5.4531,11062593536,80,60,60,27,61,1,HOLD,0.78,9,False,live,,69,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,MGM,MGM Resorts International,US,소비재,2026-08-20,43.17,1445615,2448840.75,0.8557,10861258752,32,60,63,74,48,1,HOLD,-0.02,0,False,live,,24,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,CPT,Camden Property Trust,US,리츠,2026-08-20,107.92,1055646,935487.3,2.0064,10850206720,25,60,63,45,41,0,AVOID,-0.36,-4,True,live,,26,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,EGP,"EastGroup Properties, Inc.",US,리츠,2026-08-20,201.14,239506,507275.3,3.9521,10815965184,25,60,63,45,40,0,AVOID,-0.44,-5,True,live,,22,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,BXP,"BXP, Inc.",US,리츠,2026-08-20,67.78,872780,1426634.0,1.6568,12259871744,47,60,63,53,56,0,HOLD,0.37,4,False,live,,61,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,DAR,Darling Ingredients Inc.,US,소매,2026-08-20,67.84,2136555,2269157.75,2.2761,10705348608,91,60,50,53,64,1,HOLD,0.82,10,False,live,,55,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,BPOP,"Popular, Inc.",US,금융,2026-08-20,168.22,365208,413955.4,3.4361,10728819712,47,60,53,70,55,1,HOLD,0.26,3,False,live,,54,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,DCI,"Donaldson Company, Inc.",US,산업재,2026-08-20,92.44,840748,642052.4,2.0398,10714818560,50,60,63,50,58,0,HOLD,0.44,5,False,live,,69,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,ALSN,"Allison Transmission Holdings, Inc.",US,소비재,2026-08-20,129.12,1033352,861432.6,4.5371,10662475776,78,60,60,66,64,1,HOLD,0.74,9,False,live,,48,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,AXSM,"Axsome Therapeutics, Inc.",US,제약/바이오,2026-08-20,208.03,620864,685683.2,8.6971,10896781312,47,65,50,26,45,0,HOLD,-0.26,-3,False,live,,52,NEUTRAL
